GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Model,pl.cp.sudoku.parts,SudokuBox,0,3,0,0,0,1,0,1,0,1
Model,pl.cp.sudoku.parts,SudokuPart,0,73,0,14,0,9,0,10,0,3
Model,pl.cp.sudoku.parts,SudokuColumn,0,3,0,0,0,1,0,1,0,1
Model,pl.cp.sudoku.parts,SudokuRow,0,3,0,0,0,1,0,1,0,1
Model,pl.cp.sudoku.solver,BacktrackingSudokuSolver,0,233,0,30,0,46,0,20,0,5
Model,pl.cp.sudoku,SudokuBoard,0,281,0,38,0,48,0,31,0,12
Model,pl.cp.sudoku,Observable,0,10,0,0,0,5,0,2,0,2
Model,pl.cp.sudoku,SudokuField,0,63,0,6,0,13,0,9,0,6
Model,pl.cp.sudoku.dao,SudokuBoardDaoFactory,8,0,0,0,2,0,2,0,2,0
Model,pl.cp.sudoku.dao,FileSudokuBoardDao,48,0,0,0,18,0,4,0,4,0
